base_word,case,plurality,gender,inflection
здание,DAT,PL,NEUT,['зданиям']
здание,INS,SG,NEUT,['зданием']
здание,INS,PL,NEUT,['зданиями']
здание,ESS,SG,NEUT,['здании']
здание,ESS,PL,NEUT,['зданиях']
ресторан,ACC,SG,MASC,['ресторан']
ресторан,NOM,SG,MASC,['ресторан']
ресторан,NOM,PL,MASC,['рестораны']
ресторан,GEN,SG,MASC,['ресторана']
ресторан,GEN,PL,MASC,['ресторанов']
ресторан,DAT,SG,MASC,['ресторану']
ресторан,DAT,PL,MASC,['ресторанам']
ресторан,INS,SG,MASC,['рестораном']
ресторан,INS,PL,MASC,['ресторанами']
ресторан,ESS,SG,MASC,['ресторане']
ресторан,ESS,PL,MASC,['ресторанах']
ручка,ACC,SG,FEM,['ручку']
ручка,NOM,SG,FEM,['ручка']
ручка,NOM,PL,FEM,['ручки']
ручка,GEN,SG,FEM,['ручки']
ручка,GEN,PL,FEM,['ручек']
ручка,DAT,SG,FEM,['ручке']
ручка,DAT,PL,FEM,['ручкам']
ручка,INS,SG,FEM,['ручкой']
ручка,INS,PL,FEM,['ручками']
ручка,ESS,SG,FEM,['ручке']
ручка,ESS,PL,FEM,['ручках']
тетрадь,ACC,SG,FEM,['тетрадь']
тетрадь,NOM,SG,FEM,['тетрадь']
тетрадь,NOM,PL,FEM,['тетради']
тетрадь,GEN,SG,FEM,['тетради']
тетрадь,GEN,PL,FEM,['тетрадей']
тетрадь,DAT,SG,FEM,['тетради']
тетрадь,DAT,PL,FEM,['тетрадям']
тетрадь,INS,SG,FEM,['тетрадью']
тетрадь,INS,PL,FEM,['тетрадями']
тетрадь,ESS,SG,FEM,['тетради']
тетрадь,ESS,PL,FEM,['тетрадях']
машина,ACC,SG,FEM,['машину']
машина,NOM,SG,FEM,['машина']
машина,NOM,PL,FEM,['машины']
машина,GEN,SG,FEM,['машины']
машина,GEN,PL,FEM,['машин']
машина,DAT,SG,FEM,['машине']
машина,DAT,PL,FEM,['машинам']
машина,INS,SG,FEM,['машиной']
машина,INS,PL,FEM,['машинами']
машина,ESS,SG,FEM,['машине']
машина,ESS,PL,FEM,['машинах']
корабль,ACC,SG,MASC,['корабль']
корабль,ACC,PL,MASC,['корабли']
корабль,NOM,SG,MASC,['корабль']
корабль,NOM,PL,MASC,['корабли']
корабль,GEN,SG,MASC,['корабля']
корабль,GEN,PL,MASC,['кораблей']
корабль,DAT,SG,MASC,['кораблю']
корабль,DAT,PL,MASC,['кораблям']
корабль,INS,SG,MASC,['кораблём']
корабль,INS,PL,MASC,['кораблями']
корабль,ESS,SG,MASC,['корабле']
корабль,ESS,PL,MASC,['кораблях']
самолёт,ACC,SG,MASC,['самолёт']
самолёт,NOM,SG,MASC,['самолёт']
самолёт,NOM,PL,MASC,['самолёты']
самолёт,GEN,SG,MASC,['самолёта']
самолёт,GEN,PL,MASC,['самолётов']
самолёт,DAT,SG,MASC,['самолёту']
самолёт,DAT,PL,MASC,['самолётам']
самолёт,INS,SG,MASC,['самолётом']
самолёт,INS,PL,MASC,['самолётами']
самолёт,ESS,SG,MASC,['самолёте']
самолёт,ESS,PL,MASC,['самолётах']
карта,ACC,SG,FEM,['карту']
карта,NOM,SG,FEM,['карта']
карта,NOM,PL,FEM,['карты']
карта,GEN,SG,FEM,['карты']
карта,GEN,PL,FEM,['карт']
карта,DAT,SG,FEM,['карте']
карта,DAT,PL,FEM,['картам']
карта,INS,SG,FEM,['картой']
карта,INS,PL,FEM,['картами']
карта,ESS,SG,FEM,['карте']
карта,ESS,PL,FEM,['картах']
сумка,ACC,SG,FEM,['сумку']
сумка,NOM,SG,FEM,['сумка']
сумка,NOM,PL,FEM,['сумки']
сумка,GEN,SG,FEM,['сумки']
сумка,GEN,PL,FEM,['сумок']
сумка,DAT,SG,FEM,['сумке']
сумка,DAT,PL,FEM,['сумкам']
сумка,INS,SG,FEM,['сумкой']
сумка,INS,PL,FEM,['сумками']
сумка,ESS,SG,FEM,['сумке']
сумка,ESS,PL,FEM,['сумках']
газета,ACC,SG,FEM,['газету']
газета,NOM,SG,FEM,['газета']
газета,NOM,PL,FEM,['газеты']
газета,GEN,SG,FEM,['газеты']
газета,GEN,PL,FEM,['газет']
газета,DAT,SG,FEM,['газете']
газета,DAT,PL,FEM,['газетам']
газета,INS,SG,FEM,['газетой']
газета,INS,PL,FEM,['газетами']
газета,ESS,SG,FEM,['газете']
газета,ESS,PL,FEM,['газетах']
инструмент,ACC,SG,MASC,['инструмент']
инструмент,NOM,SG,MASC,['инструмент']
инструмент,NOM,PL,MASC,['инструменты']
инструмент,GEN,SG,MASC,['инструмента']
инструмент,GEN,PL,MASC,['инструментов']
инструмент,DAT,SG,MASC,['инструменту']
инструмент,DAT,PL,MASC,['инструментам']
инструмент,INS,SG,MASC,['инструментом']
инструмент,INS,PL,MASC,['инструментами']
инструмент,ESS,SG,MASC,['инструменте']
инструмент,ESS,PL,MASC,['инструментах']
квартира,ACC,SG,FEM,['квартиру']
квартира,NOM,SG,FEM,['квартира']
квартира,NOM,PL,FEM,['квартиры']
квартира,GEN,SG,FEM,['квартиры']
квартира,GEN,PL,FEM,['квартир']
квартира,DAT,SG,FEM,['квартире']
квартира,DAT,PL,FEM,['квартирам']
квартира,INS,SG,FEM,['квартирой']
квартира,INS,PL,FEM,['квартирами']
квартира,ESS,SG,FEM,['квартире']
квартира,ESS,PL,FEM,['квартирах']
зеркало,ACC,SG,NEUT,['зеркало']
зеркало,NOM,SG,NEUT,['зеркало']
зеркало,NOM,PL,NEUT,['зеркала']
зеркало,GEN,SG,NEUT,['зеркала']
зеркало,GEN,PL,NEUT,['зеркал']
зеркало,DAT,SG,NEUT,['зеркалу']
зеркало,DAT,PL,NEUT,['зеркалам']
зеркало,INS,SG,NEUT,['зеркалом']
зеркало,INS,PL,NEUT,['зеркалами']
зеркало,ESS,SG,NEUT,['зеркале']
зеркало,ESS,PL,NEUT,['зеркалах']
часовня,ACC,SG,FEM,['часовню']
часовня,ACC,PL,FEM,['часовни']
часовня,NOM,SG,FEM,['часовня']
часовня,NOM,PL,FEM,['часовни']
часовня,GEN,SG,FEM,['часовни']
часовня,GEN,PL,FEM,['часовен']
часовня,DAT,SG,FEM,['часовне']
часовня,DAT,PL,FEM,['часовням']
часовня,INS,SG,FEM,['часовней']
часовня,INS,PL,FEM,['часовнями']
часовня,ESS,SG,FEM,['часовне']
часовня,ESS,PL,FEM,['часовнях']
приз,ACC,SG,MASC,['приз']
приз,ACC,PL,MASC,['призы']
приз,NOM,SG,MASC,['приз']
приз,NOM,PL,MASC,['призы']
приз,GEN,SG,MASC,['приза']
приз,GEN,PL,MASC,['призов']
приз,DAT,SG,MASC,['призу']
приз,DAT,PL,MASC,['призам']
приз,INS,SG,MASC,['призом']
приз,INS,PL,MASC,['призами']
приз,ESS,SG,MASC,['призе']
приз,ESS,PL,MASC,['призах']
