base_word,animacy,case,gender,plurality,inflection
маленький,,GEN,NEUT,SG,['маленького']
маленький,,ACC,NEUT,SG,['маленькое']
маленький,,NOM,NEUT,SG,['маленькое']
маленький,,DAT,FEM,SG,['маленькой']
маленький,,ESS,FEM,SG,['маленькой']
маленький,,GEN,FEM,SG,['маленькой']
маленький,,INS,FEM,SG,['маленькой']
маленький,,ESS,MASC,SG,['маленьком']
маленький,,ESS,NEUT,SG,['маленьком']
маленький,,DAT,MASC,SG,['маленькому']
маленький,,DAT,NEUT,SG,['маленькому']
маленький,,ACC,FEM,SG,['маленькую']
небольшой,,NOM,FEM,SG,['небольшая']
небольшой,INAN,ACC,,PL,['небольшие']
небольшой,,NOM,,PL,['небольшие']
небольшой,,DAT,,PL,['небольшим']
небольшой,,INS,MASC,SG,['небольшим']
небольшой,,INS,NEUT,SG,['небольшим']
небольшой,,INS,,PL,['небольшими']
небольшой,ANIM,ACC,,PL,['небольших']
небольшой,,ESS,,PL,['небольших']
небольшой,,GEN,,PL,['небольших']
небольшой,ANIM,ACC,MASC,SG,['небольшого']
небольшой,,GEN,MASC,SG,['небольшого']
небольшой,,GEN,NEUT,SG,['небольшого']
небольшой,,ACC,NEUT,SG,['небольшое']
небольшой,,NOM,NEUT,SG,['небольшое']
небольшой,,DAT,FEM,SG,['небольшой']
небольшой,,ESS,FEM,SG,['небольшой']
небольшой,,GEN,FEM,SG,['небольшой']
небольшой,INAN,ACC,MASC,SG,['небольшой']
небольшой,,INS,FEM,SG,['небольшой']
небольшой,,NOM,MASC,SG,['небольшой']
небольшой,,ESS,MASC,SG,['небольшом']
небольшой,,ESS,NEUT,SG,['небольшом']
небольшой,,DAT,MASC,SG,['небольшому']
небольшой,,DAT,NEUT,SG,['небольшому']
небольшой,,ACC,FEM,SG,['небольшую']
новый,,NOM,FEM,SG,['новая']
новый,ANIM,ACC,MASC,SG,['нового']
новый,,GEN,MASC,SG,['нового']
новый,,GEN,NEUT,SG,['нового']
новый,,ACC,NEUT,SG,['новое']
новый,,NOM,NEUT,SG,['новое']
новый,,DAT,FEM,SG,['новой']
новый,,ESS,FEM,SG,['новой']
новый,,GEN,FEM,SG,['новой']
новый,,INS,FEM,SG,['новой']
новый,,ESS,MASC,SG,['новом']
новый,,ESS,NEUT,SG,['новом']
новый,,DAT,MASC,SG,['новому']
новый,,DAT,NEUT,SG,['новому']
новый,,ACC,FEM,SG,['новую']
новый,INAN,ACC,,PL,['новые']
новый,,NOM,,PL,['новые']
новый,INAN,ACC,MASC,SG,['новый']
новый,,NOM,MASC,SG,['новый']
новый,,DAT,,PL,['новым']
новый,,INS,MASC,SG,['новым']
новый,,INS,NEUT,SG,['новым']
новый,,INS,,PL,['новыми']
новый,ANIM,ACC,,PL,['новых']
новый,,ESS,,PL,['новых']
новый,,GEN,,PL,['новых']
огромный,,NOM,FEM,SG,['огромная']
огромный,ANIM,ACC,MASC,SG,['огромного']
огромный,,GEN,MASC,SG,['огромного']
огромный,,GEN,NEUT,SG,['огромного']
огромный,,ACC,NEUT,SG,['огромное']
огромный,,NOM,NEUT,SG,['огромное']
огромный,,DAT,FEM,SG,['огромной']
огромный,,ESS,FEM,SG,['огромной']
огромный,,GEN,FEM,SG,['огромной']
огромный,,INS,FEM,SG,['огромной']
огромный,,ESS,MASC,SG,['огромном']
огромный,,ESS,NEUT,SG,['огромном']
огромный,,DAT,MASC,SG,['огромному']
огромный,,DAT,NEUT,SG,['огромному']
огромный,,ACC,FEM,SG,['огромную']
огромный,INAN,ACC,,PL,['огромные']
огромный,,NOM,,PL,['огромные']
огромный,INAN,ACC,MASC,SG,['огромный']
огромный,,NOM,MASC,SG,['огромный']
огромный,,DAT,,PL,['огромным']
огромный,,INS,MASC,SG,['огромным']
огромный,,INS,NEUT,SG,['огромным']
огромный,,INS,,PL,['огромными']
огромный,ANIM,ACC,,PL,['огромных']
огромный,,ESS,,PL,['огромных']
огромный,,GEN,,PL,['огромных']
очаровательный,,NOM,FEM,SG,['очаровательная']
очаровательный,ANIM,ACC,MASC,SG,['очаровательного']
очаровательный,,GEN,MASC,SG,['очаровательного']
очаровательный,,GEN,NEUT,SG,['очаровательного']
очаровательный,,ACC,NEUT,SG,['очаровательное']
очаровательный,,NOM,NEUT,SG,['очаровательное']
очаровательный,,DAT,FEM,SG,['очаровательной']
очаровательный,,ESS,FEM,SG,['очаровательной']
очаровательный,,GEN,FEM,SG,['очаровательной']
очаровательный,,INS,FEM,SG,['очаровательной']
очаровательный,,ESS,MASC,SG,['очаровательном']
очаровательный,,ESS,NEUT,SG,['очаровательном']
очаровательный,,DAT,MASC,SG,['очаровательному']
очаровательный,,DAT,NEUT,SG,['очаровательному']
очаровательный,,ACC,FEM,SG,['очаровательную']
очаровательный,INAN,ACC,,PL,['очаровательные']
очаровательный,,NOM,,PL,['очаровательные']
очаровательный,INAN,ACC,MASC,SG,['очаровательный']
очаровательный,,NOM,MASC,SG,['очаровательный']
очаровательный,,DAT,,PL,['очаровательным']
очаровательный,,INS,MASC,SG,['очаровательным']
очаровательный,,INS,NEUT,SG,['очаровательным']
очаровательный,,INS,,PL,['очаровательными']
очаровательный,ANIM,ACC,,PL,['очаровательных']
очаровательный,,ESS,,PL,['очаровательных']
очаровательный,,GEN,,PL,['очаровательных']
стойкий,,NOM,FEM,SG,['стойкая']
стойкий,INAN,ACC,,PL,['стойкие']
стойкий,,NOM,,PL,['стойкие']
стойкий,INAN,ACC,MASC,SG,['стойкий']
стойкий,,NOM,MASC,SG,['стойкий']
стойкий,,DAT,,PL,['стойким']
стойкий,,INS,MASC,SG,['стойким']
стойкий,,INS,NEUT,SG,['стойким']
стойкий,,INS,,PL,['стойкими']
стойкий,ANIM,ACC,,PL,['стойких']
стойкий,,ESS,,PL,['стойких']
стойкий,,GEN,,PL,['стойких']
стойкий,ANIM,ACC,MASC,SG,['стойкого']
стойкий,,GEN,MASC,SG,['стойкого']
стойкий,,GEN,NEUT,SG,['стойкого']
стойкий,,ACC,NEUT,SG,['стойкое']
стойкий,,NOM,NEUT,SG,['стойкое']
стойкий,,DAT,FEM,SG,['стойкой']
стойкий,,ESS,FEM,SG,['стойкой']
стойкий,,GEN,FEM,SG,['стойкой']
стойкий,,INS,FEM,SG,['стойкой']
стойкий,,ESS,MASC,SG,['стойком']
стойкий,,ESS,NEUT,SG,['стойком']
стойкий,,DAT,MASC,SG,['стойкому']
стойкий,,DAT,NEUT,SG,['стойкому']
стойкий,,ACC,FEM,SG,['стойкую']
уродливый,,NOM,FEM,SG,['уродливая']
уродливый,ANIM,ACC,MASC,SG,['уродливого']
уродливый,,GEN,MASC,SG,['уродливого']
уродливый,,GEN,NEUT,SG,['уродливого']
уродливый,,ACC,NEUT,SG,['уродливое']
уродливый,,NOM,NEUT,SG,['уродливое']
уродливый,,DAT,FEM,SG,['уродливой']
уродливый,,ESS,FEM,SG,['уродливой']
уродливый,,GEN,FEM,SG,['уродливой']
уродливый,,INS,FEM,SG,['уродливой']
уродливый,,ESS,MASC,SG,['уродливом']
уродливый,,ESS,NEUT,SG,['уродливом']
уродливый,,DAT,MASC,SG,['уродливому']
уродливый,,DAT,NEUT,SG,['уродливому']
уродливый,,ACC,FEM,SG,['уродливую']
уродливый,INAN,ACC,,PL,['уродливые']
уродливый,,NOM,,PL,['уродливые']
уродливый,INAN,ACC,MASC,SG,['уродливый']
уродливый,,NOM,MASC,SG,['уродливый']
уродливый,,DAT,,PL,['уродливым']
уродливый,,INS,MASC,SG,['уродливым']
уродливый,,INS,NEUT,SG,['уродливым']
уродливый,,INS,,PL,['уродливыми']
уродливый,ANIM,ACC,,PL,['уродливых']
уродливый,,ESS,,PL,['уродливых']
уродливый,,GEN,,PL,['уродливых']
