base_word,case,definiteness,animacy,gender,plurality,inflection
زعيم,NOM,INDF,HUM,MASC,SG,['زعيم']
زعيم,NOM,INDF,HUM,MASC,DU,['زعيمان']
زعيم,NOM,INDF,HUM,MASC,PL,['زعماء']
زعيم,NOM,INDF,HUM,FEM,SG,['زعيمة']
زعيم,NOM,INDF,HUM,FEM,DU,['زعيمتان']
زعيم,NOM,INDF,HUM,FEM,PL,['زعيمات']
مترجم,NOM,INDF,HUM,MASC,SG,['مترجم']
مترجم,NOM,INDF,HUM,MASC,DU,['مترجمان']
مترجم,NOM,INDF,HUM,MASC,PL,['مترجمون']
مترجم,NOM,INDF,HUM,FEM,SG,['مترجمة']
مترجم,NOM,INDF,HUM,FEM,DU,['مترجمتان']
مترجم,NOM,INDF,HUM,FEM,PL,['مترجمات']
صحافي,NOM,INDF,HUM,MASC,SG,['صحافي']
صحافي,NOM,INDF,HUM,MASC,DU,['صحافيان']
صحافي,NOM,INDF,HUM,MASC,PL,['صحافيون']
صحافي,NOM,INDF,HUM,FEM,SG,['صحافية']
صحافي,NOM,INDF,HUM,FEM,DU,['صحافيتان']
صحافي,NOM,INDF,HUM,FEM,PL,['صحافيات']
ضابط,NOM,INDF,HUM,MASC,SG,['ضابط']
ضابط,NOM,INDF,HUM,MASC,DU,['ضابطان']
ضابط,NOM,INDF,HUM,MASC,PL,['ضباط']
ضابط,NOM,INDF,HUM,FEM,SG,['ضابطة']
ضابط,NOM,INDF,HUM,FEM,DU,['ضابطتان']
ضابط,NOM,INDF,HUM,FEM,PL,['ضابطات']
مسؤول,NOM,INDF,HUM,MASC,SG,"['مسؤول', 'مسئول']"
مسؤول,NOM,INDF,HUM,MASC,DU,"['مسؤولان', 'مسئولان']"
مسؤول,NOM,INDF,HUM,MASC,PL,"['مسؤولون', 'مسئولون']"
مسؤول,NOM,INDF,HUM,FEM,SG,"['مسؤولة', 'مسئولة']"
مسؤول,NOM,INDF,HUM,FEM,DU,"['مسؤولتان', 'مسئولتان']"
مسؤول,NOM,INDF,HUM,FEM,PL,"['مسؤولات', 'مسئولات']"
شاهد,NOM,INDF,HUM,MASC,SG,['شاهد']
شاهد,NOM,INDF,HUM,MASC,DU,['شاهدان']
شاهد,NOM,INDF,HUM,MASC,PL,"['أشهاد', 'شهود']"
شاهد,NOM,INDF,HUM,FEM,SG,['شاهدة']
شاهد,NOM,INDF,HUM,FEM,DU,['شاهدتان']
شاهد,NOM,INDF,HUM,FEM,PL,['شاهدات']
محارب,NOM,INDF,HUM,MASC,SG,['محارب']
محارب,NOM,INDF,HUM,MASC,DU,['محاربان']
محارب,NOM,INDF,HUM,MASC,PL,['محاربون']
محارب,NOM,INDF,HUM,FEM,SG,['محاربة']
محارب,NOM,INDF,HUM,FEM,DU,['محاربتان']
محارب,NOM,INDF,HUM,FEM,PL,['محاربات']
مزارع,NOM,INDF,HUM,MASC,SG,['مزارع']
مزارع,NOM,INDF,HUM,MASC,DU,['مزارعان']
مزارع,NOM,INDF,HUM,MASC,PL,['مزارعون']
مزارع,NOM,INDF,HUM,FEM,SG,['مزارعة']
مزارع,NOM,INDF,HUM,FEM,DU,['مزارعتان']
مزارع,NOM,INDF,HUM,FEM,PL,['مزارعات']
سائق,NOM,INDF,HUM,MASC,SG,['سائق']
سائق,NOM,INDF,HUM,MASC,DU,['سائقان']
سائق,NOM,INDF,HUM,MASC,PL,['سائقون']
سائق,NOM,INDF,HUM,FEM,SG,['سائقة']
سائق,NOM,INDF,HUM,FEM,DU,['سائقتان']
سائق,NOM,INDF,HUM,FEM,PL,['سائقات']
مواطن,NOM,INDF,HUM,MASC,SG,['مواطن']
مواطن,NOM,INDF,HUM,MASC,DU,['مواطنان']
مواطن,NOM,INDF,HUM,MASC,PL,['مواطنون']
مواطن,NOM,INDF,HUM,FEM,SG,['مواطنة']
مواطن,NOM,INDF,HUM,FEM,DU,['مواطنتان']
مواطن,NOM,INDF,HUM,FEM,PL,['مواطنات']
ممثل,NOM,INDF,HUM,MASC,SG,['ممثل']
ممثل,NOM,INDF,HUM,MASC,DU,['ممثلان']
ممثل,NOM,INDF,HUM,MASC,PL,['ممثلون']
ممثل,NOM,INDF,HUM,FEM,SG,['ممثلة']
ممثل,NOM,INDF,HUM,FEM,DU,['ممثلتان']
ممثل,NOM,INDF,HUM,FEM,PL,['ممثلات']
مسافر,NOM,INDF,HUM,MASC,SG,['مسافر']
مسافر,NOM,INDF,HUM,MASC,DU,['مسافران']
مسافر,NOM,INDF,HUM,MASC,PL,['مسافرون']
مسافر,NOM,INDF,HUM,FEM,SG,['مسافرة']
مسافر,NOM,INDF,HUM,FEM,DU,['مسافرتان']
مسافر,NOM,INDF,HUM,FEM,PL,['مسافرات']
راكب,NOM,INDF,HUM,MASC,SG,['راكب']
راكب,NOM,INDF,HUM,MASC,DU,['راكبان']
راكب,NOM,INDF,HUM,MASC,PL,"['راكبون', 'ركاب']"
راكب,NOM,INDF,HUM,FEM,SG,['راكبة']
راكب,NOM,INDF,HUM,FEM,DU,['راكبتان']
راكب,NOM,INDF,HUM,FEM,PL,['راكبات']
مدير,NOM,INDF,HUM,MASC,SG,['مدير']
مدير,NOM,INDF,HUM,MASC,DU,['مديران']
مدير,NOM,INDF,HUM,MASC,PL,"['مدراء', 'مديرون']"
مدير,NOM,INDF,HUM,FEM,SG,['مديرة']
مدير,NOM,INDF,HUM,FEM,DU,['مديرتان']
مدير,NOM,INDF,HUM,FEM,PL,['مديرات']
مهندس,NOM,INDF,HUM,MASC,SG,['مهندس']
مهندس,NOM,INDF,HUM,MASC,DU,['مهندسان']
مهندس,NOM,INDF,HUM,MASC,PL,['مهندسون']
مهندس,NOM,INDF,HUM,FEM,SG,['مهندسة']
مهندس,NOM,INDF,HUM,FEM,DU,['مهندستان']
مهندس,NOM,INDF,HUM,FEM,PL,['مهندسات']
عالم,NOM,INDF,HUM,MASC,SG,['عالم']
عالم,NOM,INDF,HUM,MASC,DU,['عالمان']
عالم,NOM,INDF,HUM,MASC,PL,['علماء']
عالم,NOM,INDF,HUM,FEM,SG,['عالمة']
عالم,NOM,INDF,HUM,FEM,DU,['عالمتان']
عالم,NOM,INDF,HUM,FEM,PL,['عالِمات']
لاعب,NOM,INDF,HUM,MASC,SG,['لاعب']
لاعب,NOM,INDF,HUM,MASC,DU,['لاعبان']
لاعب,NOM,INDF,HUM,MASC,PL,['لاعبون']
لاعب,NOM,INDF,HUM,FEM,SG,['لاعبة']
لاعب,NOM,INDF,HUM,FEM,DU,['لاعبتان']
لاعب,NOM,INDF,HUM,FEM,PL,['لاعبات']
شقيق,NOM,INDF,HUM,MASC,SG,['شقيق']
شقيق,NOM,INDF,HUM,MASC,DU,['شقيقان']
شقيق,NOM,INDF,HUM,MASC,PL,"['أشقاء', 'أشقة']"
شقيق,NOM,INDF,HUM,FEM,SG,['شقيقة']
شقيق,NOM,INDF,HUM,FEM,DU,['شقيقتان']
شقيق,NOM,INDF,HUM,FEM,PL,['شقيقات']
محامي,NOM,INDF,HUM,MASC,SG,"['محامي','محام']"
محامي,NOM,INDF,HUM,MASC,DU,['محاميان']
محامي,NOM,INDF,HUM,MASC,PL,['محامون']
محامي,NOM,INDF,HUM,FEM,SG,['محامية']
محامي,NOM,INDF,HUM,FEM,DU,['محاميتان']
محامي,NOM,INDF,HUM,FEM,PL,['محاميات']
شرطي,NOM,INDF,HUM,MASC,SG,['شرطي']
شرطي,NOM,INDF,HUM,MASC,DU,['شرطيان']
شرطي,NOM,INDF,HUM,MASC,PL,['شرطيون']
شرطي,NOM,INDF,HUM,FEM,SG,['شرطية']
شرطي,NOM,INDF,HUM,FEM,DU,['شرطيتان']
شرطي,NOM,INDF,HUM,FEM,PL,['شرطيات']
باحث,NOM,INDF,HUM,MASC,SG,['باحث']
باحث,NOM,INDF,HUM,MASC,DU,['باحثان']
باحث,NOM,INDF,HUM,MASC,PL,"['باحثون', 'بحاث']"
باحث,NOM,INDF,HUM,FEM,SG,['باحثة']
باحث,NOM,INDF,HUM,FEM,DU,['باحثتان']
باحث,NOM,INDF,HUM,FEM,PL,['باحثات']
شاعر,NOM,INDF,HUM,MASC,SG,['شاعر']
شاعر,NOM,INDF,HUM,MASC,DU,['شاعران']
شاعر,NOM,INDF,HUM,MASC,PL,['شعراء']
شاعر,NOM,INDF,HUM,FEM,SG,['شاعرة']
شاعر,NOM,INDF,HUM,FEM,DU,['شاعرتان']
شاعر,NOM,INDF,HUM,FEM,PL,['شاعرات']
موظف,NOM,INDF,HUM,MASC,SG,['موظف']
موظف,NOM,INDF,HUM,MASC,DU,['موظفان']
موظف,NOM,INDF,HUM,MASC,PL,['موظفون']
موظف,NOM,INDF,HUM,FEM,SG,['موظفة']
موظف,NOM,INDF,HUM,FEM,DU,['موظفتان']
موظف,NOM,INDF,HUM,FEM,PL,['موظفات']
