base_word,voice,mood,person,aspect,gender,plurality,inflection
اِنْتَظَرَ,ACT,IND,3,IPFV,MASC,DU,['ينتظران']
اِنْتَظَرَ,ACT,IND,3,IPFV,MASC,PL,['ينتظرون']
اِنْتَظَرَ,ACT,IND,3,IPFV,FEM,SG,['تنتظر']
اِنْتَظَرَ,ACT,IND,3,IPFV,FEM,DU,['تنتظران']
اِنْتَظَرَ,ACT,IND,3,IPFV,FEM,PL,['ينتظرن']
سَمِعَ,ACT,IND,3,PFV,MASC,SG,['سَمِعَ']
سَمِعَ,ACT,IND,3,PFV,MASC,DU,['سَمِعَا']
سَمِعَ,ACT,IND,3,PFV,MASC,PL,['سَمِعُوا']
سَمِعَ,ACT,IND,3,PFV,FEM,SG,['سَمِعَتْ']
سَمِعَ,ACT,IND,3,PFV,FEM,DU,['سَمِعَتَا']
سَمِعَ,ACT,IND,3,PFV,FEM,PL,['سَمِعْنَ']
سَمِعَ,ACT,IND,3,IPFV,MASC,SG,['يَسْمَعُ']
سَمِعَ,ACT,IND,3,IPFV,MASC,DU,['يَسْمَعَانِ']
سَمِعَ,ACT,IND,3,IPFV,MASC,PL,['يَسْمَعُونَ']
سَمِعَ,ACT,IND,3,IPFV,FEM,SG,['تَسْمَعُ']
سَمِعَ,ACT,IND,3,IPFV,FEM,DU,['تَسْمَعَانِ']
سَمِعَ,ACT,IND,3,IPFV,FEM,PL,['يَسْمَعْنَ']
مشى,ACT,IND,3,PFV,MASC,SG,['مشى']
مشى,ACT,IND,3,PFV,MASC,DU,['مشيا']
مشى,ACT,IND,3,PFV,MASC,PL,['مشوا']
مشى,ACT,IND,3,PFV,FEM,SG,['مشت']
مشى,ACT,IND,3,PFV,FEM,DU,['مشتا']
مشى,ACT,IND,3,PFV,FEM,PL,['مشين']
مشى,ACT,IND,3,IPFV,MASC,SG,['يمشي']
مشى,ACT,IND,3,IPFV,MASC,DU,['يمشيان']
مشى,ACT,IND,3,IPFV,MASC,PL,['يمشون']
مشى,ACT,IND,3,IPFV,FEM,SG,['تمشي']
مشى,ACT,IND,3,IPFV,FEM,DU,['تمشيان']
مشى,ACT,IND,3,IPFV,FEM,PL,['يمشين']
تَحَدَّثَ,ACT,IND,3,PFV,MASC,SG,['تَحَدَّثَ']
تَحَدَّثَ,ACT,IND,3,PFV,MASC,DU,['تَحَدَّثَا']
تَحَدَّثَ,ACT,IND,3,PFV,MASC,PL,['تَحَدَّثُوا']
تَحَدَّثَ,ACT,IND,3,PFV,FEM,SG,['تَحَدَّثَتْ']
تَحَدَّثَ,ACT,IND,3,PFV,FEM,DU,['تَحَدَّثَتَا']
تَحَدَّثَ,ACT,IND,3,PFV,FEM,PL,['تَحَدَّثْنَ']
تَحَدَّثَ,ACT,IND,3,IPFV,MASC,SG,['يتحدث']
تَحَدَّثَ,ACT,IND,3,IPFV,MASC,DU,['يتحدثان']
تَحَدَّثَ,ACT,IND,3,IPFV,MASC,PL,['يتحدثون']
تَحَدَّثَ,ACT,IND,3,IPFV,FEM,SG,['تتحدث']
تَحَدَّثَ,ACT,IND,3,IPFV,FEM,DU,['تتحدثان']
تَحَدَّثَ,ACT,IND,3,IPFV,FEM,PL,['يتحدثن']
فَتَحَ,ACT,IND,3,PFV,MASC,SG,['فَتَحَ']
فَتَحَ,ACT,IND,3,PFV,MASC,DU,['فَتَحَا']
فَتَحَ,ACT,IND,3,PFV,MASC,PL,['فَتَحُوا']
فَتَحَ,ACT,IND,3,PFV,FEM,SG,['فَتَحَتْ']
فَتَحَ,ACT,IND,3,PFV,FEM,DU,['فَتَحَتَا']
فَتَحَ,ACT,IND,3,PFV,FEM,PL,['فَتَحْنَ']
فَتَحَ,ACT,IND,3,IPFV,MASC,SG,['يفتح']
فَتَحَ,ACT,IND,3,IPFV,MASC,DU,['يفتحان']
فَتَحَ,ACT,IND,3,IPFV,MASC,PL,['يفتحون']
فَتَحَ,ACT,IND,3,IPFV,FEM,SG,['تفتح']
فَتَحَ,ACT,IND,3,IPFV,FEM,DU,['تفتحان']
فَتَحَ,ACT,IND,3,IPFV,FEM,PL,['يفتحن']
أغلق,ACT,IND,3,PFV,MASC,SG,['أغلق']
أغلق,ACT,IND,3,PFV,MASC,DU,['أغلقا']
أغلق,ACT,IND,3,PFV,MASC,PL,['أغلقوا']
أغلق,ACT,IND,3,PFV,FEM,SG,['أغلقت']
أغلق,ACT,IND,3,PFV,FEM,DU,['أغلقتا']
أغلق,ACT,IND,3,PFV,FEM,PL,['أغلقن']
أغلق,ACT,IND,3,IPFV,MASC,SG,['يغلق']
أغلق,ACT,IND,3,IPFV,MASC,DU,['يغلقان']
أغلق,ACT,IND,3,IPFV,MASC,PL,['يغلقون']
أغلق,ACT,IND,3,IPFV,FEM,SG,['تغلق']
أغلق,ACT,IND,3,IPFV,FEM,DU,['تغلقان']
أغلق,ACT,IND,3,IPFV,FEM,PL,['يغلقن']
ساعد,ACT,IND,3,PFV,MASC,SG,['ساعد']
ساعد,ACT,IND,3,PFV,MASC,DU,['ساعدا']
ساعد,ACT,IND,3,PFV,MASC,PL,['ساعدوا']
ساعد,ACT,IND,3,PFV,FEM,SG,['ساعدت']
ساعد,ACT,IND,3,PFV,FEM,DU,['ساعدتا']
ساعد,ACT,IND,3,PFV,FEM,PL,['ساعدن']
ساعد,ACT,IND,3,IPFV,MASC,SG,['يساعد']
ساعد,ACT,IND,3,IPFV,MASC,DU,['يساعدان']
ساعد,ACT,IND,3,IPFV,MASC,PL,['يساعدون']
ساعد,ACT,IND,3,IPFV,FEM,SG,['تساعد']
ساعد,ACT,IND,3,IPFV,FEM,DU,['تساعدان']
ساعد,ACT,IND,3,IPFV,FEM,PL,['يساعدن']
حَفِظَ,ACT,IND,3,PFV,MASC,SG,['حَفِظَ']
حَفِظَ,ACT,IND,3,PFV,MASC,DU,['حَفِظَا']
حَفِظَ,ACT,IND,3,PFV,MASC,PL,['حَفِظُوا']
حَفِظَ,ACT,IND,3,PFV,FEM,SG,['حَفِظَتْ']
حَفِظَ,ACT,IND,3,PFV,FEM,DU,['حَفِظَتَا']
حَفِظَ,ACT,IND,3,PFV,FEM,PL,['حَفِظْنَ']
حَفِظَ,ACT,IND,3,IPFV,MASC,SG,['يَحْفَظُ']
حَفِظَ,ACT,IND,3,IPFV,MASC,DU,['يَحْفَظَانِ']
حَفِظَ,ACT,IND,3,IPFV,MASC,PL,['يَحْفَظُونَ']
حَفِظَ,ACT,IND,3,IPFV,FEM,SG,['تَحْفَظُ']
حَفِظَ,ACT,IND,3,IPFV,FEM,DU,['تَحْفَظَانِ']
حَفِظَ,ACT,IND,3,IPFV,FEM,PL,['يَحْفَظْنَ']
بحث,ACT,IND,3,PFV,MASC,SG,['بحث']
بحث,ACT,IND,3,PFV,MASC,DU,['بحثا']
بحث,ACT,IND,3,PFV,MASC,PL,['بحثوا']
بحث,ACT,IND,3,PFV,FEM,SG,['بحثت']
بحث,ACT,IND,3,PFV,FEM,DU,['بحثتا']
بحث,ACT,IND,3,PFV,FEM,PL,['بحثن']
بحث,ACT,IND,3,IPFV,MASC,SG,['يبحث']
بحث,ACT,IND,3,IPFV,MASC,DU,['يبحثان']
بحث,ACT,IND,3,IPFV,MASC,PL,['يبحثون']
بحث,ACT,IND,3,IPFV,FEM,SG,['تبحث']
بحث,ACT,IND,3,IPFV,FEM,DU,['تبحثان']
بحث,ACT,IND,3,IPFV,FEM,PL,['يبحثن']
شَرِبَ,ACT,IND,3,PFV,MASC,SG,['شَرِبَ']
شَرِبَ,ACT,IND,3,PFV,MASC,DU,['شَرِبَا']
شَرِبَ,ACT,IND,3,PFV,MASC,PL,['شَرِبُوا']
شَرِبَ,ACT,IND,3,PFV,FEM,SG,['شَرِبَتْ']
شَرِبَ,ACT,IND,3,PFV,FEM,DU,['شَرِبَتَا']
شَرِبَ,ACT,IND,3,PFV,FEM,PL,['شَرِبْنَ']
شَرِبَ,ACT,IND,3,IPFV,MASC,SG,['يَشْرَبُ']
شَرِبَ,ACT,IND,3,IPFV,MASC,DU,['يَشْرَبَانِ']
شَرِبَ,ACT,IND,3,IPFV,MASC,PL,['يَشْرَبُونَ']
شَرِبَ,ACT,IND,3,IPFV,FEM,SG,['تَشْرَبُ']
شَرِبَ,ACT,IND,3,IPFV,FEM,DU,['تَشْرَبَانِ']
شَرِبَ,ACT,IND,3,IPFV,FEM,PL,['يَشْرَبْنَ']
أَكَلَ,ACT,IND,3,PFV,MASC,SG,"['أَكَلَ']"
أَكَلَ,ACT,IND,3,PFV,MASC,DU,"['أَكَلَا']"
أَكَلَ,ACT,IND,3,PFV,MASC,PL,"['أَكَلُوا']"
أَكَلَ,ACT,IND,3,PFV,FEM,SG,"['أَكَلَتْ']"
أَكَلَ,ACT,IND,3,PFV,FEM,DU,"['أَكَلَتَا']"
أَكَلَ,ACT,IND,3,PFV,FEM,PL,"['أَكَلْنَ']"
أَكَلَ,ACT,IND,3,IPFV,MASC,SG,"['يَأْكُلُ']"
أَكَلَ,ACT,IND,3,IPFV,MASC,DU,"['يَأْكُلَانِ']"
أَكَلَ,ACT,IND,3,IPFV,MASC,PL,"['يَأْكُلُونَ']"
أَكَلَ,ACT,IND,3,IPFV,FEM,SG,"['تَأْكُلُ']"
أَكَلَ,ACT,IND,3,IPFV,FEM,DU,"['تَأْكُلَانِ']"
أَكَلَ,ACT,IND,3,IPFV,FEM,PL,['يَأْكُلْنَ']
ذَهَبَ,ACT,IND,3,PFV,MASC,SG,['ذَهَبَ']
ذَهَبَ,ACT,IND,3,PFV,MASC,DU,['ذَهَبَا']
ذَهَبَ,ACT,IND,3,PFV,MASC,PL,['ذَهَبُوا']
ذَهَبَ,ACT,IND,3,PFV,FEM,SG,['ذَهَبَتْ']
ذَهَبَ,ACT,IND,3,PFV,FEM,DU,['ذَهَبَتَا']
ذَهَبَ,ACT,IND,3,PFV,FEM,PL,['ذَهَبْنَ']
ذَهَبَ,ACT,IND,3,IPFV,MASC,SG,['يَذْهَبْ']
ذَهَبَ,ACT,IND,3,IPFV,MASC,DU,['يَذْهَبَانِ']
ذَهَبَ,ACT,IND,3,IPFV,MASC,PL,['يَذْهَبُونَ']
ذَهَبَ,ACT,IND,3,IPFV,FEM,SG,['تَذْهَبُ']
ذَهَبَ,ACT,IND,3,IPFV,FEM,DU,['تَذْهَبَانِ']
ذَهَبَ,ACT,IND,3,IPFV,FEM,PL,['يَذْهَبْنَ']
عاد,ACT,IND,3,PFV,MASC,SG,['عاد']
عاد,ACT,IND,3,PFV,MASC,DU,['عادا']
عاد,ACT,IND,3,PFV,MASC,PL,['عادوا']
عاد,ACT,IND,3,PFV,FEM,SG,['عادت']
عاد,ACT,IND,3,PFV,FEM,DU,['عادتا']
عاد,ACT,IND,3,PFV,FEM,PL,['عدن']
عاد,ACT,IND,3,IPFV,MASC,SG,['يعود']
عاد,ACT,IND,3,IPFV,MASC,DU,['يعودان']
عاد,ACT,IND,3,IPFV,MASC,PL,['يعودون']
عاد,ACT,IND,3,IPFV,FEM,SG,['تعود']
عاد,ACT,IND,3,IPFV,FEM,DU,['تعودان']
عاد,ACT,IND,3,IPFV,FEM,PL,['يعدن']
جَلَبَ,ACT,IND,3,PFV,MASC,SG,['جَلَبَ']
جَلَبَ,ACT,IND,3,PFV,MASC,DU,['جَلَبَا']
جَلَبَ,ACT,IND,3,PFV,MASC,PL,['جَلَبُوا']
جَلَبَ,ACT,IND,3,PFV,FEM,SG,['جَلَبَتْ']
جَلَبَ,ACT,IND,3,PFV,FEM,DU,['جَلَبَتَا']
جَلَبَ,ACT,IND,3,PFV,FEM,PL,['جَلَبْنَ']
جَلَبَ,ACT,IND,3,IPFV,MASC,SG,"['يَجْلُبُ']"
جَلَبَ,ACT,IND,3,IPFV,MASC,DU,"['يَجْلُبَانِ']"
جَلَبَ,ACT,IND,3,IPFV,MASC,PL,"['يَجْلُبُونَ']"
جَلَبَ,ACT,IND,3,IPFV,FEM,SG,"['تَجْلُبُ']"
جَلَبَ,ACT,IND,3,IPFV,FEM,DU,"['تَجْلُبَانِ']"
جَلَبَ,ACT,IND,3,IPFV,FEM,PL,['يَجْلُبْنَ']
نام,ACT,IND,3,PFV,MASC,SG,['نام']
نام,ACT,IND,3,PFV,MASC,DU,['ناما']
نام,ACT,IND,3,PFV,MASC,PL,['ناموا']
نام,ACT,IND,3,PFV,FEM,SG,['نامت']
نام,ACT,IND,3,PFV,FEM,DU,['نامتا']
نام,ACT,IND,3,PFV,FEM,PL,['نمن']
نام,ACT,IND,3,IPFV,MASC,SG,['ينام']
نام,ACT,IND,3,IPFV,MASC,DU,['ينامان']
نام,ACT,IND,3,IPFV,MASC,PL,['ينامون']
نام,ACT,IND,3,IPFV,FEM,SG,['تنام']
نام,ACT,IND,3,IPFV,FEM,DU,['تنامان']
نام,ACT,IND,3,IPFV,FEM,PL,['ينمن']
تكلَّم,,IMP,,,MASC,SG,['تكلَّم']
تكلَّم,,IMP,,,MASC,DU,['تكلّما']
تكلَّم,,IMP,,,MASC,PL,['تكلّموا']
تكلَّم,,IMP,,,FEM,SG,['تكلّمي']
تكلَّم,,IMP,,,FEM,DU,['تكلّما']
تكلَّم,,IMP,,,FEM,PL,['تكلّمن']
كَتَبَ,,IMP,,,MASC,SG,['اُكْتُبْ']
كَتَبَ,,IMP,,,MASC,DU,['اُكْتُبَا']
كَتَبَ,,IMP,,,MASC,PL,['اُكْتُبُوا']
كَتَبَ,,IMP,,,FEM,SG,['اُكْتُبِي']
كَتَبَ,,IMP,,,FEM,DU,['اُكْتُبَا']
كَتَبَ,,IMP,,,FEM,PL,['اُكْتُبْنَ']
شَرِبَ,,IMP,,,MASC,SG,['اِشْرَبْ']
شَرِبَ,,IMP,,,MASC,DU,['اِشْرَبَا']
شَرِبَ,,IMP,,,MASC,PL,['اِشْرَبُوا']
شَرِبَ,,IMP,,,FEM,SG,['اِشْرَبِي']
شَرِبَ,,IMP,,,FEM,DU,['اِشْرَبَا']
شَرِبَ,,IMP,,,FEM,PL,['اِشْرَبْنَ']
أَخَذَ,,IMP,,,MASC,SG,['خُذْ']
أَخَذَ,,IMP,,,MASC,DU,['خُذَا']
أَخَذَ,,IMP,,,MASC,PL,['خُذُوا']
أَخَذَ,,IMP,,,FEM,SG,['خُذِي']
أَخَذَ,,IMP,,,FEM,DU,['خُذَا']
أَخَذَ,,IMP,,,FEM,PL,['خُذْنَ']
دَخَلَ,,IMP,,,MASC,SG,['اُدْخُلْ']
دَخَلَ,,IMP,,,MASC,DU,['اُدْخُلَا']
دَخَلَ,,IMP,,,MASC,PL,['اُدْخُلُوا']
دَخَلَ,,IMP,,,FEM,SG,['اُدْخُلِي']
دَخَلَ,,IMP,,,FEM,DU,['اُدْخُلَا']
دَخَلَ,,IMP,,,FEM,PL,['اُدْخُلْنَ']
فَتَحَ,,IMP,,,MASC,SG,['اِفْتَحْ']
فَتَحَ,,IMP,,,MASC,DU,['اِفْتَحَا']
فَتَحَ,,IMP,,,MASC,PL,['اِفْتَحُوا']
فَتَحَ,,IMP,,,FEM,SG,['اِفْتَحِي']
فَتَحَ,,IMP,,,FEM,DU,['اِفْتَحَا']
فَتَحَ,,IMP,,,FEM,PL,['اِفْتَحْنَ']
قَرَأَ,,IMP,,,MASC,SG,"['اِقْرَأْ']"
قَرَأَ,,IMP,,,MASC,DU,['اِقْرَآ']
قَرَأَ,,IMP,,,MASC,PL,"['اقرأوا', 'اِقْرَؤُوا', 'اقرئوا']"
قَرَأَ,,IMP,,,FEM,SG,"['اِقْرَئِي']"
قَرَأَ,,IMP,,,FEM,DU,['اِقْرَآ']
قَرَأَ,,IMP,,,FEM,PL,['اِقْرَأْنَ']
أَكَلَ,,IMP,,,MASC,SG,['كُلْ']
أَكَلَ,,IMP,,,MASC,DU,['كُلَا']
أَكَلَ,,IMP,,,MASC,PL,['كُلُوا']
أَكَلَ,,IMP,,,FEM,SG,['كُلِي']
أَكَلَ,,IMP,,,FEM,DU,['كُلَا']
أَكَلَ,,IMP,,,FEM,PL,['كُلْنَ']
سأل,,IMP,,,MASC,SG,['اِسْأَلْ']
سأل,,IMP,,,MASC,DU,['اِسْأَلَا']
سأل,,IMP,,,MASC,PL,['إسألوا']
سأل,,IMP,,,FEM,SG,['إسألي']
سأل,,IMP,,,FEM,DU,['اِسْأَلَا']
سأل,,IMP,,,FEM,PL,['اِسْأَلْنَ']
عاد,,IMP,,,MASC,SG,['عد']
عاد,,IMP,,,MASC,DU,['عودا']
عاد,,IMP,,,MASC,PL,['عُودُوا']
عاد,,IMP,,,FEM,SG,['عُودِي']
عاد,,IMP,,,FEM,DU,['عودا']
عاد,,IMP,,,FEM,PL,['عدن']
قام,,IMP,,,MASC,SG,['قم']
قام,,IMP,,,MASC,DU,['قوما']
قام,,IMP,,,MASC,PL,['قوموا']
قام,,IMP,,,FEM,SG,['قومي']
قام,,IMP,,,FEM,DU,['قوما']
قام,,IMP,,,FEM,PL,['قمن']
سمع,,IMP,,,MASC,SG,['اسمع']
سمع,,IMP,,,MASC,DU,['اسمعا']
سمع,,IMP,,,MASC,PL,['اسمعوا']
سمع,,IMP,,,FEM,SG,['اسمعي']
سمع,,IMP,,,FEM,DU,['اسمعا']
سمع,,IMP,,,FEM,PL,['اسمعن']
رَمَى,,IMP,,,MASC,SG,['اِرْمِ']
رَمَى,,IMP,,,MASC,DU,['اِرْمِيا']
رَمَى,,IMP,,,MASC,PL,['اِرْمُوا']
رَمَى,,IMP,,,FEM,SG,['اِرْمِي']
رَمَى,,IMP,,,FEM,DU,['اِرْمِيا']
رَمَى,,IMP,,,FEM,PL,['اِرْمِينَ']
تَرَكَ,,IMP,,,MASC,SG,['اُتْرُكْ']
تَرَكَ,,IMP,,,MASC,DU,['اُتْرُكَا']
تَرَكَ,,IMP,,,MASC,PL,['اُتْرُكُوا']
تَرَكَ,,IMP,,,FEM,SG,['اُتْرُكِي']
تَرَكَ,,IMP,,,FEM,DU,['اُتْرُكَا']
تَرَكَ,,IMP,,,FEM,PL,['اُتْرُكْنَ']
بقي,,IMP,,,MASC,SG,['اِبْقَ']
بقي,,IMP,,,MASC,DU,['اِبْقَيَا']
بقي,,IMP,,,MASC,PL,['اِبْقَوْا']
بقي,,IMP,,,FEM,SG,['اِبْقَيْ']
بقي,,IMP,,,FEM,DU,['اِبْقَيَا']
بقي,,IMP,,,FEM,PL,['اِبْقَيْنَ']
وَقَفَ,,IMP,,,MASC,SG,['قِفْ']
وَقَفَ,,IMP,,,MASC,DU,['قِفَا']
وَقَفَ,,IMP,,,MASC,PL,['قِفُوا']
وَقَفَ,,IMP,,,FEM,SG,['قِفِي']
وَقَفَ,,IMP,,,FEM,DU,['قِفَا']
وَقَفَ,,IMP,,,FEM,PL,['قِفْنَ']
حَذِرَ,,IMP,,,MASC,SG,['اِحْذَرْ']
حَذِرَ,,IMP,,,MASC,DU,['اِحْذَرَا']
حَذِرَ,,IMP,,,MASC,PL,['اِحْذَرُوا']
حَذِرَ,,IMP,,,FEM,SG,['اِحْذَرِي']
حَذِرَ,,IMP,,,FEM,DU,['اِحْذَرَا']
حَذِرَ,,IMP,,,FEM,PL,['اِحْذَرْنَ']
تابع,,IMP,,,MASC,SG,['تابع']
تابع,,IMP,,,MASC,DU,['تَابِعَا']
تابع,,IMP,,,MASC,PL,['تابعوا']
تابع,,IMP,,,FEM,SG,['تابعي']
تابع,,IMP,,,FEM,DU,['تَابِعَا']
تابع,,IMP,,,FEM,PL,['تَابِعْنَ']
