base_word,case,definiteness,animacy,gender,plurality,inflection
مهم,NOM,INDF,HUM,FEM,SG,['مهمة']
مهم,NOM,INDF,HUM,FEM,DU,['مهمتان']
مهم,NOM,INDF,HUM,FEM,PL,['مهمات']
صامد,NOM,INDF,HUM,MASC,SG,['صامد']
صامد,NOM,INDF,HUM,MASC,DU,['صامدان']
صامد,NOM,INDF,HUM,MASC,PL,['صامدون']
صامد,NOM,INDF,HUM,FEM,SG,['صامدة']
صامد,NOM,INDF,HUM,FEM,DU,['صامدتان']
صامد,NOM,INDF,HUM,FEM,PL,['صامدات']
رائع,NOM,INDF,HUM,MASC,SG,['رائع']
رائع,NOM,INDF,HUM,MASC,DU,['رائعان']
رائع,NOM,INDF,HUM,MASC,PL,['رائعون']
رائع,NOM,INDF,HUM,FEM,SG,['رائعة']
رائع,NOM,INDF,HUM,FEM,DU,['رائعتان']
رائع,NOM,INDF,HUM,FEM,PL,['رائعات']
سعيد,NOM,INDF,HUM,MASC,SG,['سعيد']
سعيد,NOM,INDF,HUM,MASC,DU,['سعيدان']
سعيد,NOM,INDF,HUM,MASC,PL,['سعداء']
سعيد,NOM,INDF,HUM,FEM,SG,['سعيدة']
سعيد,NOM,INDF,HUM,FEM,DU,['سعيدتان']
سعيد,NOM,INDF,HUM,FEM,PL,['سعيدات']
محترف,NOM,INDF,HUM,MASC,SG,['محترف']
محترف,NOM,INDF,HUM,MASC,DU,['محترفان']
محترف,NOM,INDF,HUM,MASC,PL,['محترفون']
محترف,NOM,INDF,HUM,FEM,SG,['محترفة']
محترف,NOM,INDF,HUM,FEM,DU,['محترفتان']
محترف,NOM,INDF,HUM,FEM,PL,['محترفات']
ثري,NOM,INDF,HUM,MASC,SG,['ثري']
ثري,NOM,INDF,HUM,MASC,DU,['ثريان']
ثري,NOM,INDF,HUM,MASC,PL,['أثرياء']
ثري,NOM,INDF,HUM,FEM,SG,['ثرية']
ثري,NOM,INDF,HUM,FEM,DU,['ثريتان']
ثري,NOM,INDF,HUM,FEM,PL,['ثريات']
متواضع,NOM,INDF,HUM,MASC,SG,['متواضع']
متواضع,NOM,INDF,HUM,MASC,DU,['متواضعان']
متواضع,NOM,INDF,HUM,MASC,PL,['متواضعون']
متواضع,NOM,INDF,HUM,FEM,SG,['متواضعة']
متواضع,NOM,INDF,HUM,FEM,DU,['متواضعتان']
متواضع,NOM,INDF,HUM,FEM,PL,['متواضعات']
فقير,NOM,INDF,HUM,MASC,SG,['فقير']
فقير,NOM,INDF,HUM,MASC,DU,['فقيران']
فقير,NOM,INDF,HUM,MASC,PL,['فقراء']
فقير,NOM,INDF,HUM,FEM,SG,['فقيرة']
فقير,NOM,INDF,HUM,FEM,DU,['فقيرتان']
فقير,NOM,INDF,HUM,FEM,PL,['فقيرات']
جديد,NOM,INDF,NHUM,MASC,SG,['جديد']
جديد,NOM,INDF,NHUM,MASC,DU,['جديدان']
جديد,NOM,INDF,NHUM,MASC,PL,['جدد']
جديد,NOM,INDF,NHUM,FEM,SG,['جديدة']
جديد,NOM,INDF,NHUM,FEM,DU,['جديدتان']
جديد,NOM,INDF,NHUM,FEM,PL,['جديدات']
كبير,NOM,INDF,NHUM,MASC,SG,['كبير']
كبير,NOM,INDF,NHUM,MASC,DU,['كبيران']
كبير,NOM,INDF,NHUM,MASC,PL,"['كبراء', 'كبار']"
كبير,NOM,INDF,NHUM,FEM,SG,['كبيرة']
كبير,NOM,INDF,NHUM,FEM,DU,['كبيرتان']
كبير,NOM,INDF,NHUM,FEM,PL,['كبيرات']
صغير,NOM,INDF,NHUM,MASC,SG,['صغير']
صغير,NOM,INDF,NHUM,MASC,DU,['صغيران']
صغير,NOM,INDF,NHUM,MASC,PL,['صغار']
صغير,NOM,INDF,NHUM,FEM,SG,['صغيرة']
صغير,NOM,INDF,NHUM,FEM,DU,['صغيرتان']
صغير,NOM,INDF,NHUM,FEM,PL,['صغيرات']
جميل,NOM,INDF,NHUM,MASC,SG,['جميل']
جميل,NOM,INDF,NHUM,MASC,DU,['جميلان']
جميل,NOM,INDF,NHUM,MASC,PL,['جميلون']
جميل,NOM,INDF,NHUM,FEM,SG,['جميلة']
جميل,NOM,INDF,NHUM,FEM,DU,['جميلتان']
جميل,NOM,INDF,NHUM,FEM,PL,['جميلات']
قديم,NOM,INDF,NHUM,MASC,SG,['قديم']
قديم,NOM,INDF,NHUM,MASC,DU,['قديمان']
قديم,NOM,INDF,NHUM,MASC,PL,"['قدام','قدماء']"
قديم,NOM,INDF,NHUM,FEM,SG,['قديمة']
قديم,NOM,INDF,NHUM,FEM,DU,['قديمتان']
قديم,NOM,INDF,NHUM,FEM,PL,['قديمات']
مهم,NOM,INDF,NHUM,MASC,SG,['مهم']
مهم,NOM,INDF,NHUM,MASC,DU,['مهمان']
مهم,NOM,INDF,NHUM,MASC,PL,['مهمون']
مهم,NOM,INDF,NHUM,FEM,SG,['مهمة']
مهم,NOM,INDF,NHUM,FEM,DU,['مهمتان']
مهم,NOM,INDF,NHUM,FEM,PL,['مهمات']
صامد,NOM,INDF,NHUM,MASC,SG,['صامد']
صامد,NOM,INDF,NHUM,MASC,DU,['صامدان']
صامد,NOM,INDF,NHUM,MASC,PL,['صامدون']
صامد,NOM,INDF,NHUM,FEM,SG,['صامدة']
صامد,NOM,INDF,NHUM,FEM,DU,['صامدتان']
صامد,NOM,INDF,NHUM,FEM,PL,['صامدات']
رائع,NOM,INDF,NHUM,MASC,SG,['رائع']
رائع,NOM,INDF,NHUM,MASC,DU,['رائعان']
رائع,NOM,INDF,NHUM,MASC,PL,['رائعون']
رائع,NOM,INDF,NHUM,FEM,SG,['رائعة']
رائع,NOM,INDF,NHUM,FEM,DU,['رائعتان']
رائع,NOM,INDF,NHUM,FEM,PL,['رائعات']
خلاب,NOM,INDF,NHUM,MASC,SG,['خلاب']
خلاب,NOM,INDF,NHUM,MASC,DU,['خلابان']
خلاب,NOM,INDF,NHUM,MASC,PL,['خلابون']
خلاب,NOM,INDF,NHUM,FEM,SG,['خلابة']
خلاب,NOM,INDF,NHUM,FEM,DU,['خلابتان']
خلاب,NOM,INDF,NHUM,FEM,PL,['خلابات']
أثري,NOM,INDF,NHUM,MASC,SG,['أثري']
أثري,NOM,INDF,NHUM,MASC,DU,['أثريان']
أثري,NOM,INDF,NHUM,MASC,PL,['أثريون']
أثري,NOM,INDF,NHUM,FEM,SG,['أثرية']
أثري,NOM,INDF,NHUM,FEM,DU,['أثريتان']
أثري,NOM,INDF,NHUM,FEM,PL,['أثريات']
طويل,NOM,INDF,NHUM,MASC,SG,['طويل']
طويل,NOM,INDF,NHUM,MASC,DU,['طويلان']
طويل,NOM,INDF,NHUM,MASC,PL,['طوال']
طويل,NOM,INDF,NHUM,FEM,SG,['طويلة']
طويل,NOM,INDF,NHUM,FEM,DU,['طويلتان']
طويل,NOM,INDF,NHUM,FEM,PL,['طويلات']
قبيح,NOM,INDF,NHUM,MASC,SG,['قبيح']
قبيح,NOM,INDF,NHUM,MASC,DU,['قبيحان']
قبيح,NOM,INDF,NHUM,MASC,PL,['قباح']
قبيح,NOM,INDF,NHUM,FEM,SG,['قبيحة']
قبيح,NOM,INDF,NHUM,FEM,DU,['قبيحتان']
قبيح,NOM,INDF,NHUM,FEM,PL,['قبيحات']
قصير,NOM,INDF,NHUM,MASC,SG,['قصير']
قصير,NOM,INDF,NHUM,MASC,DU,['قصيران']
قصير,NOM,INDF,NHUM,MASC,PL,['قصار']
قصير,NOM,INDF,NHUM,FEM,SG,['قصيرة']
قصير,NOM,INDF,NHUM,FEM,DU,['قصيرتان']
قصير,NOM,INDF,NHUM,FEM,PL,['قصيرات']
