base_word,mood,tense,polarity,person,aspect,plurality,inflection
okumak,IND,PST,POS,3,PFV,PL,['okudular']
okumak,IND,PST,POS,3,HAB,SG,['okurdu']
okumak,IND,PST,POS,3,HAB,PL,['okurlardı']
yazmak,IND,PST,POS,3,PFV,SG,['yazdı']
yazmak,IND,PST,POS,3,PFV,PL,['yazdılar']
yazmak,IND,PST,POS,3,HAB,SG,['yazardı']
yazmak,IND,PST,POS,3,HAB,PL,['yazarlardı']
öğrenmek,IND,PST,POS,3,PFV,SG,['öğrendi']
öğrenmek,IND,PST,POS,3,PFV,PL,['öğrendiler']
öğrenmek,IND,PST,POS,3,HAB,SG,['öğrenirdi']
öğrenmek,IND,PST,POS,3,HAB,PL,['öğrenirlerdi']
oturmak,IND,PST,POS,3,PFV,SG,['oturdu']
oturmak,IND,PST,POS,3,PFV,PL,['oturdular']
oturmak,IND,PST,POS,3,HAB,SG,['otururdu']
oturmak,IND,PST,POS,3,HAB,PL,['otururlardı']
kalkmak,IND,PST,POS,3,PFV,SG,['kalktı']
kalkmak,IND,PST,POS,3,PFV,PL,['kalktılar']
kalkmak,IND,PST,POS,3,HAB,SG,['kalkardı']
kalkmak,IND,PST,POS,3,HAB,PL,['kalkarlardı']
beklemek,IND,PST,POS,3,PFV,SG,['bekledi']
beklemek,IND,PST,POS,3,PFV,PL,['beklediler']
beklemek,IND,PST,POS,3,HAB,SG,['beklerdi']
beklemek,IND,PST,POS,3,HAB,PL,['beklerlerdi']
duymak,IND,PST,POS,3,PFV,SG,['duydu']
duymak,IND,PST,POS,3,PFV,PL,['duydular']
duymak,IND,PST,POS,3,HAB,SG,['duyardı']
duymak,IND,PST,POS,3,HAB,PL,['duyarlardı']
gezmek,IND,PST,POS,3,PFV,SG,['gezdi']
gezmek,IND,PST,POS,3,PFV,PL,['gezdiler']
gezmek,IND,PST,POS,3,HAB,SG,['gezerdi']
gezmek,IND,PST,POS,3,HAB,PL,['gezerlerdi']
savunmak,IND,PST,POS,3,PFV,SG,['savundu']
savunmak,IND,PST,POS,3,PFV,PL,['savundular']
savunmak,IND,PST,POS,3,HAB,SG,['savunurdu']
savunmak,IND,PST,POS,3,HAB,PL,['savunurlardı']
açmak,IND,PST,POS,3,PFV,SG,['açtı']
açmak,IND,PST,POS,3,PFV,PL,['açtılar']
açmak,IND,PST,POS,3,HAB,SG,['açardı']
açmak,IND,PST,POS,3,HAB,PL,['açarlardı']
kapatmak,IND,PST,POS,3,PFV,SG,['kapattı']
kapatmak,IND,PST,POS,3,PFV,PL,['kapattılar']
kapatmak,IND,PST,POS,3,HAB,SG,['kapatırdı']
kapatmak,IND,PST,POS,3,HAB,PL,['kapatırlardı']
aramak,IND,PST,POS,3,PFV,SG,['aradı']
aramak,IND,PST,POS,3,PFV,PL,['aradılar']
aramak,IND,PST,POS,3,HAB,SG,['arardı']
aramak,IND,PST,POS,3,HAB,PL,['ararlardı']
gülümsemek,IND,PST,POS,3,PFV,SG,['gülümsedi']
gülümsemek,IND,PST,POS,3,PFV,PL,['gülümsediler']
gülümsemek,IND,PST,POS,3,HAB,SG,['gülümserdi']
gülümsemek,IND,PST,POS,3,HAB,PL,['gülümserlerdi']
içmek,IND,PST,POS,3,PFV,SG,['içti']
içmek,IND,PST,POS,3,PFV,PL,['içtiler']
içmek,IND,PST,POS,3,HAB,SG,['içerdi']
içmek,IND,PST,POS,3,HAB,PL,['içerlerdi']
atıştırmak,IND,PST,POS,3,PFV,SG,['atıştırdı']
atıştırmak,IND,PST,POS,3,PFV,PL,['atıştırdılar']
atıştırmak,IND,PST,POS,3,HAB,SG,['atıştırırdı']
atıştırmak,IND,PST,POS,3,HAB,PL,['atıştırırlardı']
dönmek,IND,PST,POS,3,PFV,SG,['döndü']
dönmek,IND,PST,POS,3,PFV,PL,['döndüler']
dönmek,IND,PST,POS,3,HAB,SG,['dönerdi']
dönmek,IND,PST,POS,3,HAB,PL,['dönerlerdi']
getirmek,IND,PST,POS,3,PFV,SG,['getirdi']
getirmek,IND,PST,POS,3,PFV,PL,['getirdiler']
getirmek,IND,PST,POS,3,HAB,SG,['getirirdi']
getirmek,IND,PST,POS,3,HAB,PL,['getirirlerdi']
uyumak,IND,PST,POS,3,PFV,SG,['uyudu']
uyumak,IND,PST,POS,3,PFV,PL,['uyudular']
uyumak,IND,PST,POS,3,HAB,SG,['uyurdu']
uyumak,IND,PST,POS,3,HAB,PL,['uyurlardı']
okumak,IMP,,POS,3,,SG,['oku']
okumak,IMP,,POS,3,,PL,['okuyun']
yazmak,IMP,,POS,3,,SG,['yaz']
yazmak,IMP,,POS,3,,PL,['yazın']
öğrenmek,IMP,,POS,3,,SG,['öğren']
öğrenmek,IMP,,POS,3,,PL,['öğrenin']
oturmak,IMP,,POS,3,,SG,['otur']
oturmak,IMP,,POS,3,,PL,['oturun']
kalkmak,IMP,,POS,3,,SG,['kalk']
kalkmak,IMP,,POS,3,,PL,['kalkın']
beklemek,IMP,,POS,3,,SG,['bekle']
beklemek,IMP,,POS,3,,PL,['bekleyin']
dinlemek,IMP,,POS,3,,SG,['dinle']
dinlemek,IMP,,POS,3,,PL,['dinleyin']
gezmek,IMP,,POS,3,,SG,['gez']
gezmek,IMP,,POS,3,,PL,['gezin']
koşmak,IMP,,POS,3,,SG,['koş']
koşmak,IMP,,POS,3,,PL,['koşun']
açmak,IMP,,POS,3,,SG,['aç']
açmak,IMP,,POS,3,,PL,['açın']
kapatmak,IMP,,POS,3,,SG,['kapat']
kapatmak,IMP,,POS,3,,PL,['kapatın']
öğrenmek,IMP,,POS,3,,SG,['öğren']
öğrenmek,IMP,,POS,3,,PL,['öğrenin']
aramak,IMP,,POS,3,,SG,['ara']
aramak,IMP,,POS,3,,PL,['arayın']
gülümsemek,IMP,,POS,3,,SG,['gülümse']
gülümsemek,IMP,,POS,3,,PL,['gülümseyin']
yemek,IMP,,POS,3,,SG,['ye']
yemek,IMP,,POS,3,,PL,['yiyin']
dönmek,IMP,,POS,3,,SG,['dön']
dönmek,IMP,,POS,3,,PL,['dönün']
dönmek,IMP,,POS,3,,SG,['dön']
dönmek,IMP,,POS,3,,PL,['dönün']
getirmek,IMP,,POS,3,,SG,['getir']
getirmek,IMP,,POS,3,,PL,['getirin']
uyumak,IMP,,POS,3,,SG,['uyu']
uyumak,IMP,,POS,3,,PL,['uyuyun']
