base_word,animacy,case,plurality,inflection
laiva,NHUM,TRANS,SG,['laivaksi']
laiva,NHUM,TRANS,PL,['laivoiksi']
lentokone,NHUM,NOM,SG,['lentokone']
lentokone,NHUM,NOM,PL,['lentokoneet']
lentokone,NHUM,ACC,SG,['lentokone']
lentokone,NHUM,ACC,PL,['lentokoneet']
lentokone,NHUM,GEN,SG,['lentokoneen']
lentokone,NHUM,GEN,PL,['lentokoneiden']
lentokone,NHUM,PRT,SG,['lentokonetta']
lentokone,NHUM,PRT,PL,['lentokoneita']
lentokone,NHUM,FRML,SG,['lentokoneena']
lentokone,NHUM,FRML,PL,['lentokoneina']
lentokone,NHUM,TRANS,SG,['lentokoneeksi']
lentokone,NHUM,TRANS,PL,['lentokoneiksi']
kortti,NHUM,NOM,SG,['kortti']
kortti,NHUM,NOM,PL,['kortit']
kortti,NHUM,ACC,SG,['kortti']
kortti,NHUM,ACC,PL,['kortit']
kortti,NHUM,GEN,SG,['kortin']
kortti,NHUM,GEN,PL,['korttien']
kortti,NHUM,PRT,SG,['korttia']
kortti,NHUM,PRT,PL,['kortteja']
kortti,NHUM,FRML,SG,['korttina']
kortti,NHUM,FRML,PL,['kortteina']
kortti,NHUM,TRANS,SG,['kortiksi']
kortti,NHUM,TRANS,PL,['korteiksi']
kello,NHUM,NOM,SG,['kello']
kello,NHUM,NOM,PL,['kellot']
kello,NHUM,ACC,SG,['kello']
kello,NHUM,ACC,PL,['kellot']
kello,NHUM,GEN,SG,['kellon']
kello,NHUM,GEN,PL,['kellojen']
kello,NHUM,PRT,SG,['kelloa']
kello,NHUM,PRT,PL,['kelloja']
kello,NHUM,FRML,SG,['kellona']
kello,NHUM,FRML,PL,['kelloina']
kello,NHUM,TRANS,SG,['kelloksi']
kello,NHUM,TRANS,PL,['kelloiksi']
kone,NHUM,NOM,SG,['kone']
kone,NHUM,NOM,PL,['koneet']
kone,NHUM,ACC,SG,['kone']
kone,NHUM,ACC,PL,['koneet']
kone,NHUM,GEN,SG,['koneen']
kone,NHUM,GEN,PL,['koneiden']
kone,NHUM,PRT,SG,['konetta']
kone,NHUM,PRT,PL,['koneita']
kone,NHUM,FRML,SG,['koneena']
kone,NHUM,FRML,PL,['koneina']
kone,NHUM,TRANS,SG,['koneeksi']
kone,NHUM,TRANS,PL,['koneiksi']
huone,NHUM,NOM,SG,['huone']
huone,NHUM,NOM,PL,['huoneet']
huone,NHUM,ACC,SG,['huone']
huone,NHUM,ACC,PL,['huoneet']
huone,NHUM,GEN,SG,['huoneen']
huone,NHUM,GEN,PL,['huoneiden']
huone,NHUM,PRT,SG,['huonetta']
huone,NHUM,PRT,PL,['huoneita']
huone,NHUM,FRML,SG,['huoneena']
huone,NHUM,FRML,PL,['huoneina']
huone,NHUM,TRANS,SG,['huoneeksi']
huone,NHUM,TRANS,PL,['huoneiksi']
pöytä,NHUM,NOM,SG,['pöytä']
pöytä,NHUM,NOM,PL,['pöydät']
pöytä,NHUM,ACC,SG,['pöytä']
pöytä,NHUM,ACC,PL,['pöydät']
pöytä,NHUM,GEN,SG,['pöydän']
pöytä,NHUM,GEN,PL,['pöytien']
pöytä,NHUM,PRT,SG,['pöytää']
pöytä,NHUM,PRT,PL,['pöytiä']
pöytä,NHUM,FRML,SG,['pöytänä']
pöytä,NHUM,FRML,PL,['pöytinä']
pöytä,NHUM,TRANS,SG,['pöydäksi']
pöytä,NHUM,TRANS,PL,['pöydiksi']
perhonen,NHUM,NOM,SG,['perhonen']
perhonen,NHUM,NOM,PL,['perhoset']
perhonen,NHUM,ACC,SG,['perhonen']
perhonen,NHUM,ACC,PL,['perhoset']
perhonen,NHUM,GEN,SG,['perhosen']
perhonen,NHUM,GEN,PL,['perhosten']
perhonen,NHUM,PRT,SG,['perhosta']
perhonen,NHUM,PRT,PL,['perhosia']
perhonen,NHUM,FRML,SG,['perhosena']
perhonen,NHUM,FRML,PL,['perhosina']
perhonen,NHUM,TRANS,SG,['perhoseksi']
perhonen,NHUM,TRANS,PL,['perhosiksi']
puu,NHUM,NOM,SG,['puu']
puu,NHUM,NOM,PL,['puut']
puu,NHUM,ACC,SG,['puu']
puu,NHUM,ACC,PL,['puut']
puu,NHUM,GEN,SG,['puun']
puu,NHUM,GEN,PL,['puiden']
puu,NHUM,PRT,SG,['puuta']
puu,NHUM,PRT,PL,['puita']
puu,NHUM,FRML,SG,['puuna']
puu,NHUM,FRML,PL,['puina']
puu,NHUM,TRANS,SG,['puuksi']
puu,NHUM,TRANS,PL,['puiksi']
peili,NHUM,NOM,SG,['peili']
peili,NHUM,NOM,PL,['peilit']
peili,NHUM,ACC,SG,['peili']
peili,NHUM,ACC,PL,['peilit']
peili,NHUM,GEN,SG,['peilin']
peili,NHUM,GEN,PL,['peilien']
peili,NHUM,PRT,SG,['peiliä']
peili,NHUM,PRT,PL,['peilejä']
peili,NHUM,FRML,SG,['peilinä']
peili,NHUM,FRML,PL,['peileinä']
peili,NHUM,TRANS,SG,['peiliksi']
peili,NHUM,TRANS,PL,['peileiksi']
hedelmä,NHUM,NOM,SG,['hedelmä']
hedelmä,NHUM,NOM,PL,['hedelmät']
hedelmä,NHUM,ACC,SG,['hedelmä']
hedelmä,NHUM,ACC,PL,['hedelmät']
hedelmä,NHUM,GEN,SG,['hedelmän']
hedelmä,NHUM,GEN,PL,['hedelmien']
hedelmä,NHUM,PRT,SG,['hedelmää']
hedelmä,NHUM,PRT,PL,['hedelmiä']
hedelmä,NHUM,FRML,SG,['hedelmänä']
hedelmä,NHUM,FRML,PL,['hedelminä']
hedelmä,NHUM,TRANS,SG,['hedelmäksi']
hedelmä,NHUM,TRANS,PL,['hedelmiksi']
koulu,NHUM,NOM,SG,['koulu']
koulu,NHUM,NOM,PL,['koulut']
koulu,NHUM,ACC,SG,['koulu']
koulu,NHUM,ACC,PL,['koulut']
koulu,NHUM,GEN,SG,['koulun']
koulu,NHUM,GEN,PL,['koulujen']
koulu,NHUM,PRT,SG,['koulua']
koulu,NHUM,PRT,PL,['kouluja']
koulu,NHUM,FRML,SG,['kouluna']
koulu,NHUM,FRML,PL,['kouluina']
koulu,NHUM,TRANS,SG,['kouluksi']
koulu,NHUM,TRANS,PL,['kouluiksi']
