base_word,case,inflection
supermarketti,adessive,['supermarketilla']
supermarketti,illative,['supermarketiin']
supermarketti,elative,['supermarketista']
supermarketti,allative,['supermarketille']
apteekki,inessive,['apteekissa']
apteekki,adessive,['apteekilla']
apteekki,illative,['apteekkiin']
apteekki,elative,['apteekista']
apteekki,allative,['apteekille']
ranta,inessive,['rannassa']
ranta,adessive,['rannalla']
ranta,illative,['rantaan']
ranta,elative,['rannasta']
ranta,allative,['rannalle']
vuori,inessive,['vuoressa']
vuori,adessive,['vuorella']
vuori,illative,['vuoreen']
vuori,elative,['vuoresta']
vuori,allative,['vuorelle']
asema,inessive,['asemassa']
asema,adessive,['asemalla']
asema,illative,['asemaan']
asema,elative,['asemasta']
asema,allative,['asemalle']
lentokenttä,inessive,['lentokentässä']
lentokenttä,adessive,['lentokentällä']
lentokenttä,illative,['lentokenttään']
lentokenttä,elative,['lentokentästä']
lentokenttä,allative,['lentokentälle']
kirjasto,inessive,['kirjastossa']
kirjasto,adessive,['kirjastolla']
kirjasto,illative,['kirjastoon']
kirjasto,elative,['kirjastosta']
kirjasto,allative,['kirjastolle']
ostoskeskus,inessive,['ostoskeskuksessa']
ostoskeskus,adessive,['ostoskeskuksella']
ostoskeskus,illative,['ostoskeskukseen']
ostoskeskus,elative,['ostoskeskuksesta']
ostoskeskus,allative,['ostoskeskukselle']
työpaikka,inessive,['työpaikassa']
työpaikka,adessive,['työpaikalla']
työpaikka,illative,['työpaikkaan']
työpaikka,elative,['työpaikasta']
työpaikka,allative,['työpaikalle']
olohuone,inessive,['olohuoneessa']
olohuone,adessive,['olohuoneella']
olohuone,illative,['olohuoneeseen']
olohuone,elative,['olohuoneesta']
olohuone,allative,['olohuoneelle']
baari,inessive,['baarissa']
baari,adessive,['baarilla']
baari,illative,['baariin']
baari,elative,['baarista']
baari,allative,['baarille']
kahvila,inessive,['kahvilassa']
kahvila,adessive,['kahvilalla']
kahvila,illative,['kahvilaan']
kahvila,elative,['kahvilasta']
kahvila,allative,['kahvilalle']
pubi,inessive,['pubissa']
pubi,adessive,['pubilla']
pubi,illative,['pubiin']
pubi,elative,['pubista']
pubi,allative,['pubille']
klubi,inessive,['klubissa']
klubi,adessive,['klubilla']
klubi,illative,['klubiin']
klubi,elative,['klubista']
klubi,allative,['klubille']
ravintola,inessive,['ravintolassa']
ravintola,adessive,['ravintolalla']
ravintola,illative,['ravintolaan']
ravintola,elative,['ravintolasta']
ravintola,allative,['ravintolalle']
kioski,inessive,['kioskissa']
kioski,adessive,['kioskilla']
kioski,illative,['kioskiin']
kioski,elative,['kioskista']
kioski,allative,['kioskille']
galleria,inessive,['galleriassa']
galleria,adessive,['gallerialla']
galleria,illative,['galleriaan']
galleria,elative,['galleriasta']
galleria,allative,['gallerialle']
studio,inessive,['studiossa']
studio,adessive,['studiolla']
studio,illative,['studioon']
studio,elative,['studiosta']
studio,allative,['studiolle']
teatteri,inessive,['teatterissa']
teatteri,adessive,['teatterilla']
teatteri,illative,['teatteriin']
teatteri,elative,['teatterista']
teatteri,allative,['teatterille']
halli,inessive,['hallissa']
halli,adessive,['hallilla']
halli,illative,['halliin']
halli,elative,['hallista']
halli,allative,['hallille']
arkistohuone,inessive,['arkistohuoneessa']
arkistohuone,adessive,['arkistohuoneella']
arkistohuone,illative,['arkistohuoneeseen']
arkistohuone,elative,['arkistohuoneesta']
arkistohuone,allative,['arkistohuoneelle']
leffateatteri,inessive,['leffateatterissa']
leffateatteri,adessive,['leffateatterilla']
leffateatteri,illative,['leffateatteriin']
leffateatteri,elative,['leffateatterista']
leffateatteri,allative,['leffateatterille']
puutarha,inessive,['puutarhassa']
puutarha,adessive,['puutarhalla']
puutarha,illative,['puutarhaan']
puutarha,elative,['puutarhasta']
puutarha,allative,['puutarhalle']
ratikkapysäkki,inessive,['ratikkapysäkissä']
ratikkapysäkki,adessive,['ratikkapysäkillä']
ratikkapysäkki,illative,['ratikkapysäkkiin']
ratikkapysäkki,elative,['ratikkapysäkistä']
ratikkapysäkki,allative,['ratikkapysäkille']
yliopisto,inessive,['yliopistossa']
yliopisto,adessive,['yliopistolla']
yliopisto,illative,['yliopistoon']
yliopisto,elative,['yliopistosta']
yliopisto,allative,['yliopistolle']
koulutuslaitos,inessive,['koulutuslaitoksessa']
koulutuslaitos,adessive,['koulutuslaitoksella']
koulutuslaitos,illative,['koulutuslaitokseen']
koulutuslaitos,elative,['koulutuslaitoksesta']
koulutuslaitos,allative,['koulutuslaitokselle']
liikuntahalli,inessive,['liikuntahallissa']
liikuntahalli,adessive,['liikuntahallilla']
liikuntahalli,illative,['liikuntahalliin']
liikuntahalli,elative,['liikuntahallista']
liikuntahalli,allative,['liikuntahallille']
kirjakauppa,inessive,['kirjakaupassa']
kirjakauppa,adessive,['kirjakaupalla']
kirjakauppa,illative,['kirjakauppaan']
kirjakauppa,elative,['kirjakaupasta']
kirjakauppa,allative,['kirjakaupalle']
neuvotteluhuone,inessive,['neuvotteluhuoneessa']
neuvotteluhuone,adessive,['neuvotteluhuoneella']
neuvotteluhuone,illative,['neuvotteluhuoneeseen']
neuvotteluhuone,elative,['neuvotteluhuoneesta']
neuvotteluhuone,allative,['neuvotteluhuoneelle']
bensa-asema,inessive,['bensa-asemassa']
bensa-asema,adessive,['bensa-asemalla']
bensa-asema,illative,['bensa-asemaan']
bensa-asema,elative,['bensa-asemasta']
bensa-asema,allative,['bensa-asemalle']
